run_id,task_id,detector,stop_step,stop_utility,oracle_step,oracle_utility,oracle_gap,false_early,false_late,false_late_severity
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.20__seed7,gsm8k_train_00000_b5828bc4,oracle,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.20__seed7,gsm8k_train_00000_b5828bc4,first_answer,1,0.0,2,0.95,0.95,1,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.20__seed7,gsm8k_train_00000_b5828bc4,verifier_first_correct,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.20__seed7,gsm8k_train_00000_b5828bc4,answer_stability,3,-0.1,2,0.95,1.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.20__seed7,gsm8k_train_00000_b5828bc4,entropy_plateau,3,-0.1,2,0.95,1.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.20__seed7,gsm8k_train_00000_b5828bc4,hazard_drift,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.20__seed7,gsm8k_train_00000_b5828bc4,empirical_bernstein,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.20__seed7,gsm8k_train_00000_b5828bc4,never_stop,3,-0.1,2,0.95,1.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.20__seed7,gsm8k_train_00001_3691caf7,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.20__seed7,gsm8k_train_00001_3691caf7,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.20__seed7,gsm8k_train_00001_3691caf7,verifier_first_correct,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.20__seed7,gsm8k_train_00001_3691caf7,answer_stability,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.20__seed7,gsm8k_train_00001_3691caf7,entropy_plateau,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.20__seed7,gsm8k_train_00001_3691caf7,hazard_drift,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.20__seed7,gsm8k_train_00001_3691caf7,empirical_bernstein,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.20__seed7,gsm8k_train_00001_3691caf7,never_stop,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.20__seed7,gsm8k_train_00002_ae407466,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.20__seed7,gsm8k_train_00002_ae407466,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.20__seed7,gsm8k_train_00002_ae407466,verifier_first_correct,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.20__seed7,gsm8k_train_00002_ae407466,answer_stability,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.20__seed7,gsm8k_train_00002_ae407466,entropy_plateau,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.20__seed7,gsm8k_train_00002_ae407466,hazard_drift,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.20__seed7,gsm8k_train_00002_ae407466,empirical_bernstein,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.20__seed7,gsm8k_train_00002_ae407466,never_stop,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.20__seed7,gsm8k_train_00003_135cf83f,oracle,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.20__seed7,gsm8k_train_00003_135cf83f,first_answer,1,0.0,2,0.95,0.95,1,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.20__seed7,gsm8k_train_00003_135cf83f,verifier_first_correct,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.20__seed7,gsm8k_train_00003_135cf83f,answer_stability,3,0.9,2,0.95,0.04999999999999993,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.20__seed7,gsm8k_train_00003_135cf83f,entropy_plateau,3,0.9,2,0.95,0.04999999999999993,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.20__seed7,gsm8k_train_00003_135cf83f,hazard_drift,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.20__seed7,gsm8k_train_00003_135cf83f,empirical_bernstein,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.20__seed7,gsm8k_train_00003_135cf83f,never_stop,3,0.9,2,0.95,0.04999999999999993,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.20__seed7,gsm8k_train_00004_3ee48c01,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.20__seed7,gsm8k_train_00004_3ee48c01,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.20__seed7,gsm8k_train_00004_3ee48c01,verifier_first_correct,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.20__seed7,gsm8k_train_00004_3ee48c01,answer_stability,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.20__seed7,gsm8k_train_00004_3ee48c01,entropy_plateau,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.20__seed7,gsm8k_train_00004_3ee48c01,hazard_drift,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.20__seed7,gsm8k_train_00004_3ee48c01,empirical_bernstein,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.20__seed7,gsm8k_train_00004_3ee48c01,never_stop,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.20__seed7,gsm8k_train_00005_d0817615,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.20__seed7,gsm8k_train_00005_d0817615,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.20__seed7,gsm8k_train_00005_d0817615,verifier_first_correct,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.20__seed7,gsm8k_train_00005_d0817615,answer_stability,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.20__seed7,gsm8k_train_00005_d0817615,entropy_plateau,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.20__seed7,gsm8k_train_00005_d0817615,hazard_drift,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.20__seed7,gsm8k_train_00005_d0817615,empirical_bernstein,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.20__seed7,gsm8k_train_00005_d0817615,never_stop,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.20__seed7,gsm8k_train_00006_4cf43e2d,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.20__seed7,gsm8k_train_00006_4cf43e2d,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.20__seed7,gsm8k_train_00006_4cf43e2d,verifier_first_correct,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.20__seed7,gsm8k_train_00006_4cf43e2d,answer_stability,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.20__seed7,gsm8k_train_00006_4cf43e2d,entropy_plateau,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.20__seed7,gsm8k_train_00006_4cf43e2d,hazard_drift,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.20__seed7,gsm8k_train_00006_4cf43e2d,empirical_bernstein,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.20__seed7,gsm8k_train_00006_4cf43e2d,never_stop,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.20__seed7,gsm8k_train_00007_40d1aba4,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.20__seed7,gsm8k_train_00007_40d1aba4,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.20__seed7,gsm8k_train_00007_40d1aba4,verifier_first_correct,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.20__seed7,gsm8k_train_00007_40d1aba4,answer_stability,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.20__seed7,gsm8k_train_00007_40d1aba4,entropy_plateau,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.20__seed7,gsm8k_train_00007_40d1aba4,hazard_drift,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.20__seed7,gsm8k_train_00007_40d1aba4,empirical_bernstein,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.20__seed7,gsm8k_train_00007_40d1aba4,never_stop,3,-0.1,1,0.0,0.1,0,1,2
