run_id,brier,auc
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.20117405866390903,0.8571428571428572
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.29406105383434855,0.33333333333333337
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.10__seed7,0.2852162565313173,
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.19261760062671088,0.8125
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.25098671297629394,0.2222222222222222
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.10__seed7,0.16952796099438205,0.8125
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.21087843358632244,0.75
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.22058878555757291,0.6190476190476191
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.23965524353781475,0.8
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.2374182941095376,0.7619047619047619
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.22977175881080636,
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.10__seed7,0.19900579768281698,0.8888888888888888
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.2873004277662015,
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.18867714657119922,0.9375
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.40068030866021714,
deepseek_r1_distill_1p5b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,0.15990879090096538,0.9166666666666667
deepseek_r1_distill_1p5b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,0.3025770898957237,
deepseek_r1_distill_1p5b__gsm8k_train_00017_89d492f6__temp0.10__seed7,0.18512674702311127,0.8095238095238095
deepseek_r1_distill_1p5b__gsm8k_train_00018_86b6a534__temp0.10__seed7,0.09195451085202787,
deepseek_r1_distill_1p5b__gsm8k_train_00019_fe91f244__temp0.10__seed7,0.2860679402821891,
deepseek_r1_distill_1p5b__gsm8k_train_00020_7d8a849a__temp0.10__seed7,0.2728864325688605,0.0
deepseek_r1_distill_1p5b__gsm8k_train_00021_8849281d__temp0.10__seed7,0.2155470536542774,0.4444444444444444
deepseek_r1_distill_1p5b__gsm8k_train_00022_80c4da46__temp0.10__seed7,0.2749031709447117,0.41666666666666663
deepseek_r1_distill_1p5b__gsm8k_train_00023_5c659510__temp0.10__seed7,0.181000551226197,
deepseek_r1_distill_1p5b__gsm8k_train_00024_f139cc04__temp0.10__seed7,0.14137366699435402,1.0
deepseek_r1_distill_1p5b__gsm8k_train_00025_1a030c71__temp0.10__seed7,0.2432397389495209,0.5833333333333334
deepseek_r1_distill_1p5b__gsm8k_train_00026_bf9e0c24__temp0.10__seed7,0.1652428503574368,0.875
deepseek_r1_distill_1p5b__gsm8k_train_00027_21e7ba75__temp0.10__seed7,0.17644347040979097,0.9166666666666666
deepseek_r1_distill_1p5b__gsm8k_train_00028_07c2d0db__temp0.10__seed7,0.18500456513614078,0.7777777777777778
deepseek_r1_distill_1p5b__gsm8k_train_00029_9fc74e20__temp0.10__seed7,0.3283870065299155,0.23809523809523808
deepseek_r1_distill_1p5b__gsm8k_train_00030_4f09989a__temp0.10__seed7,0.27566548564589377,
deepseek_r1_distill_1p5b__gsm8k_train_00031_1c0c7800__temp0.10__seed7,0.23202839142386752,
deepseek_r1_distill_1p5b__gsm8k_train_00032_366614d9__temp0.10__seed7,0.24792629218727552,0.7142857142857143
deepseek_r1_distill_1p5b__gsm8k_train_00033_285b14f1__temp0.10__seed7,0.20727792762166447,0.6666666666666667
deepseek_r1_distill_1p5b__gsm8k_train_00034_b46e2eee__temp0.10__seed7,0.2423140395235195,0.7777777777777778
deepseek_r1_distill_1p5b__gsm8k_train_00035_e581c993__temp0.10__seed7,0.27413284199903415,0.5238095238095237
deepseek_r1_distill_1p5b__gsm8k_train_00036_5cc8bffa__temp0.10__seed7,0.2902243790304795,0.2
deepseek_r1_distill_1p5b__gsm8k_train_00037_59a9e4e3__temp0.10__seed7,0.21885734560553782,0.625
deepseek_r1_distill_1p5b__gsm8k_train_00038_40afacc8__temp0.10__seed7,0.23905569864554127,0.3125
deepseek_r1_distill_1p5b__gsm8k_train_00039_3f079edf__temp0.10__seed7,0.2723693907211061,0.5
deepseek_r1_distill_1p5b__gsm8k_train_00040_26fced6d__temp0.10__seed7,0.1462966086010862,
deepseek_r1_distill_1p5b__gsm8k_train_00041_a5b39aca__temp0.10__seed7,0.22419896075585174,0.6799999999999999
deepseek_r1_distill_1p5b__gsm8k_train_00042_90e751d7__temp0.10__seed7,0.1958755536328208,
deepseek_r1_distill_1p5b__gsm8k_train_00043_94f5ad37__temp0.10__seed7,0.20800693812544863,0.75
deepseek_r1_distill_1p5b__gsm8k_train_00044_9c745cd7__temp0.10__seed7,0.17282312603930494,0.6875
deepseek_r1_distill_1p5b__gsm8k_train_00045_6652e47d__temp0.10__seed7,0.14710606890757538,0.8888888888888888
deepseek_r1_distill_1p5b__gsm8k_train_00046_9575ad8f__temp0.10__seed7,0.20551505877026416,0.9375
deepseek_r1_distill_1p5b__gsm8k_train_00047_f2440a00__temp0.10__seed7,0.24844478292429412,0.5833333333333333
