model,feature,coefficient
correctness_probe,step,0.041535906986585096
correctness_probe,entropy_mean,0.10902103931564368
correctness_probe,entropy_std,-0.3911519777262398
correctness_probe,confidence,0.252466036375642
correctness_probe,answer_changed,-0.6179084553560515
correctness_probe,thought_token_count,0.08831629401316336
correctness_probe,hidden_l2_shift,0.47416539464666163
correctness_probe,hidden_cosine_shift,-0.2494403902442746
correctness_probe,lexical_echo,0.053926596532978016
correctness_probe,verbose_confidence_proxy,-0.20239267720744952
repair_hazard,step,-0.024934190282552674
repair_hazard,entropy_mean,0.34723545758387225
repair_hazard,entropy_std,-0.45870861078629677
repair_hazard,confidence,0.027293306983746695
repair_hazard,answer_changed,0.1751951055370901
repair_hazard,thought_token_count,0.02852880708867406
repair_hazard,hidden_l2_shift,-0.10761018288197889
repair_hazard,hidden_cosine_shift,0.12371632809567477
repair_hazard,lexical_echo,-0.05694282435780543
repair_hazard,verbose_confidence_proxy,-0.022132073525985185
corruption_hazard,step,-0.18024682607456666
corruption_hazard,entropy_mean,-0.10654104699050064
corruption_hazard,entropy_std,0.1625432358760686
corruption_hazard,confidence,-0.13663702577084277
corruption_hazard,answer_changed,0.3958349279194596
corruption_hazard,thought_token_count,-0.04224506279770144
corruption_hazard,hidden_l2_shift,0.146027101094589
corruption_hazard,hidden_cosine_shift,-0.1543413161363723
corruption_hazard,lexical_echo,-0.08148544775530212
corruption_hazard,verbose_confidence_proxy,0.15216575664081355
