phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,32,32,8900,8192,15.669454443035647,2.042189797757926,522.800588226029,0.014562373049557209,11.735587812960148,1.17756616207771,1.242419979069382,0.0,16.43061113357544,16.439453125,22.458237171173096,24.783203125,1,0
generate,0.1,7,2,32,32,11998,8192,18.016650625038892,1.7761347914205292,454.6905066036555,0.02770813903771341,13.56436880491674,1.581186804920435,1.3270510958973318,0.0,16.430702686309814,16.439453125,22.505295276641846,27.365234375,1,0
generate,0.1,7,3,32,32,14803,8192,20.455464605940506,1.5643741472734296,400.479781701998,0.024849218083545566,15.340273573063314,1.9044389850459993,1.6166828100103885,0.0,16.43077516555786,16.439453125,22.839478015899658,29.318359375,1,0
generate,0.1,7,4,32,32,17383,8192,21.488180288113654,1.4891907816736365,381.23284010845094,0.03917327197268605,16.363616422051564,2.0915074090007693,1.4163774799089879,0.0,16.430817127227783,16.439453125,23.63908290863037,26.6328125,1,0
generate,0.1,7,5,32,32,19986,8192,23.84156736615114,1.342193636372738,343.60157091142094,0.03182512614876032,18.245166392996907,2.4958812911063433,1.4687439720146358,0.0,16.430893421173096,16.439453125,25.126657485961914,28.669921875,1,0
generate,0.1,7,6,32,32,22521,8192,26.209927461110055,1.220911429361305,312.5533259164941,0.04875036212615669,20.090460502076894,2.8538231239654124,1.5928420450072736,0.0,16.430965900421143,16.439453125,26.553561210632324,30.69921875,1,0
generate,0.1,7,7,32,32,25032,8192,27.987103811930865,1.1433837604289174,292.70624266980286,0.05369675299152732,21.706854559946805,3.177431252086535,1.3974041191395372,0.0,16.431030750274658,16.439453125,27.824199676513672,32.515625,1,0
generate,0.1,7,8,32,32,27544,8192,30.184794591972604,1.0601364174434413,271.394922865521,0.041759780840948224,23.4287657069508,3.5568342281039804,1.4832482079509646,0.0,16.43109941482544,16.439453125,29.17394781112671,34.447265625,1,0
generate,0.1,7,9,32,32,30050,8192,32.32078660116531,0.990074913549482,253.45917786866738,0.06376903411000967,25.071311021922156,3.9117784569971263,1.6180764629971236,0.0,16.431164264678955,16.439453125,30.450689792633057,36.3046875,1,0
generate,0.1,7,10,32,32,32595,8192,34.501152731943876,0.9275052415965188,237.44134184870882,0.06759385205805302,26.78179118107073,4.280897289980203,1.645207678899169,0.0,16.431232929229736,16.439453125,31.800193309783936,38.248046875,1,0
hidden_state_write,0.1,7,0,32,32,0,0,0.007756674429401755,,,0.0,0.0,0.0,0.0,0.007756674429401755,16.430450916290283,16.439453125,31.800193309783936,38.248046875,0,0
generate,0.1,7,1,32,32,8783,8192,15.389041932066903,2.0794017029299288,532.3268359500618,0.023207461927086115,11.271048785187304,1.2184350329916924,1.3486729739233851,0.0,16.43061876296997,16.439453125,22.462158679962158,24.9921875,1,0
generate,0.1,7,2,32,32,12313,8192,18.08246526005678,1.7696702047970378,453.0355724280417,0.022334692068398,13.456338986055925,1.595353428972885,1.4402931400109082,0.0,16.43069887161255,16.439453125,22.503334522247314,27.265625,1,0
generate,0.1,7,3,32,32,15325,8192,19.985855257837102,1.6011323802343542,409.8898893399947,0.03642888902686536,15.17053215811029,1.888692382024601,1.3556054478976876,0.0,16.43076753616333,16.439453125,22.69193696975708,29.185546875,1,0
generate,0.1,7,4,32,32,18221,8192,22.069443734828383,1.449968580290945,371.1919565544819,0.0300137628801167,16.762890085112303,2.1999466691631824,1.509400927927345,0.0,16.430832386016846,16.439453125,23.932090282440186,27.064453125,1,0
generate,0.1,7,5,32,32,21096,8192,24.69264886993915,1.29593224965657,331.7586559120819,0.03355836099945009,18.34840419795364,2.5202597179450095,1.9475808020215482,0.0,16.43089723587036,16.439453125,25.203813552856445,28.779296875,1,0
generate,0.1,7,6,32,32,23896,8192,26.162016002926975,1.2231473291821195,313.1257162706226,0.051168161910027266,20.0980570318643,2.8570002468768507,1.5430330038070679,0.0,16.430965900421143,16.439453125,26.553561210632324,30.69921875,1,0
generate,0.1,7,7,32,32,26692,8192,28.731071986956522,1.1137767506387344,285.126848163516,0.056319840950891376,22.11871593305841,3.249150882009417,1.6496894389856607,0.0,16.43104600906372,16.439453125,28.125011920928955,32.943359375,1,0
generate,0.1,7,8,32,32,29502,8192,31.30163688887842,1.0223107537027787,261.71155294791134,0.06222979794256389,24.226973573910072,3.743572268867865,1.5618204029742628,0.0,16.431129932403564,16.439453125,29.773618698120117,35.3046875,1,0
generate,0.1,7,9,32,32,32311,8192,33.965730994939804,0.9421260506587461,241.184268968639,0.048785085091367364,26.428912861039862,4.211972881807014,1.5917820648755878,0.0,16.431217670440674,16.439453125,31.50011396408081,37.8125,1,0
