run_id,brier,auc
internlm3_8b_instruct__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.2017179227068205,0.9166666666666667
internlm3_8b_instruct__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.21272885993096655,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.18020551156561837,0.75
internlm3_8b_instruct__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.234661380060765,
internlm3_8b_instruct__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.24573756603583607,0.6666666666666667
internlm3_8b_instruct__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.2077031406130662,0.6666666666666666
internlm3_8b_instruct__gsm8k_train_00002_ae407466__temp0.10__seed7,0.21435293725025914,
internlm3_8b_instruct__gsm8k_train_00002_ae407466__temp0.60__seed7,0.21034290156939855,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00002_ae407466__temp1.00__seed7,0.19259778752441264,
internlm3_8b_instruct__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.1768692796421866,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.20165527723619822,0.6875
internlm3_8b_instruct__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.16533111417069707,
internlm3_8b_instruct__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.19294584885593552,1.0
internlm3_8b_instruct__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.20098318116468966,
internlm3_8b_instruct__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.23130470207713322,0.33333333333333337
internlm3_8b_instruct__gsm8k_train_00005_d0817615__temp0.10__seed7,0.14853582598418677,0.875
internlm3_8b_instruct__gsm8k_train_00005_d0817615__temp0.60__seed7,0.18019476338825696,
internlm3_8b_instruct__gsm8k_train_00005_d0817615__temp1.00__seed7,0.2447858749327501,
internlm3_8b_instruct__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.27531526851092847,
internlm3_8b_instruct__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.17147155613368328,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.24645523682714496,
internlm3_8b_instruct__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.23256884557190377,0.8571428571428571
internlm3_8b_instruct__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.18795797047580065,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.19114514689534468,0.7619047619047619
internlm3_8b_instruct__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.18502989880192838,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.18228664174915693,
internlm3_8b_instruct__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.15097276352459382,1.0
internlm3_8b_instruct__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.1813450120858352,
internlm3_8b_instruct__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.16145520736658803,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.0754116032873321,
internlm3_8b_instruct__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.17351108689204758,
internlm3_8b_instruct__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.15420664840909673,
internlm3_8b_instruct__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.14723846551860129,0.9166666666666667
internlm3_8b_instruct__gsm8k_train_00011_127045f3__temp0.10__seed7,0.36675438753306744,
internlm3_8b_instruct__gsm8k_train_00011_127045f3__temp0.60__seed7,0.2066867121789225,0.875
internlm3_8b_instruct__gsm8k_train_00011_127045f3__temp1.00__seed7,0.1613224250113126,0.9047619047619049
internlm3_8b_instruct__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.2240921256933154,0.875
internlm3_8b_instruct__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.1979876767762207,0.875
internlm3_8b_instruct__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.15109679791894556,
internlm3_8b_instruct__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.1516021888775475,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.18393569044250624,1.0
internlm3_8b_instruct__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.13347566831799038,
internlm3_8b_instruct__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.2248666970145005,1.0
internlm3_8b_instruct__gsm8k_train_00014_f0103a9f__temp0.60__seed7,0.19788142003962536,0.9375
internlm3_8b_instruct__gsm8k_train_00014_f0103a9f__temp1.00__seed7,0.19002927096835404,1.0
internlm3_8b_instruct__gsm8k_train_00015_20b7f79a__temp0.10__seed7,0.22935752854763242,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00015_20b7f79a__temp0.60__seed7,0.18040038021679233,1.0
internlm3_8b_instruct__gsm8k_train_00015_20b7f79a__temp1.00__seed7,0.2358092900366215,1.0
internlm3_8b_instruct__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,0.27722181775758703,
internlm3_8b_instruct__gsm8k_train_00016_0cef7ca3__temp0.60__seed7,0.26369454964269623,
internlm3_8b_instruct__gsm8k_train_00016_0cef7ca3__temp1.00__seed7,0.20671894414909403,
internlm3_8b_instruct__gsm8k_train_00017_89d492f6__temp0.10__seed7,0.15997038045655107,0.9166666666666667
internlm3_8b_instruct__gsm8k_train_00017_89d492f6__temp0.60__seed7,0.27106869258657873,
internlm3_8b_instruct__gsm8k_train_00017_89d492f6__temp1.00__seed7,0.14272191393201022,1.0
internlm3_8b_instruct__gsm8k_train_00018_86b6a534__temp0.10__seed7,0.21964788900084825,1.0
internlm3_8b_instruct__gsm8k_train_00018_86b6a534__temp0.60__seed7,0.18275986264755378,0.9375
internlm3_8b_instruct__gsm8k_train_00018_86b6a534__temp1.00__seed7,0.18544971188433734,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00019_fe91f244__temp0.10__seed7,0.13854956312279293,
internlm3_8b_instruct__gsm8k_train_00019_fe91f244__temp0.60__seed7,0.15353492837160992,
internlm3_8b_instruct__gsm8k_train_00019_fe91f244__temp1.00__seed7,0.15383786388140616,1.0
internlm3_8b_instruct__gsm8k_train_00020_7d8a849a__temp0.10__seed7,0.17179453439847592,0.9375
internlm3_8b_instruct__gsm8k_train_00020_7d8a849a__temp0.60__seed7,0.16147410765137157,0.9375
internlm3_8b_instruct__gsm8k_train_00020_7d8a849a__temp1.00__seed7,0.17332822954110963,
internlm3_8b_instruct__gsm8k_train_00021_8849281d__temp0.10__seed7,0.16398781215497676,
internlm3_8b_instruct__gsm8k_train_00021_8849281d__temp0.60__seed7,0.1905352997001842,
internlm3_8b_instruct__gsm8k_train_00021_8849281d__temp1.00__seed7,0.3076792009300998,
internlm3_8b_instruct__gsm8k_train_00022_80c4da46__temp0.10__seed7,0.24637784803644075,
internlm3_8b_instruct__gsm8k_train_00022_80c4da46__temp0.60__seed7,0.19190112104606366,1.0
internlm3_8b_instruct__gsm8k_train_00022_80c4da46__temp1.00__seed7,0.23429240950887306,
internlm3_8b_instruct__gsm8k_train_00023_5c659510__temp0.10__seed7,0.15882167567860242,
internlm3_8b_instruct__gsm8k_train_00023_5c659510__temp0.60__seed7,0.14932995337112284,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00023_5c659510__temp1.00__seed7,0.3028865482173586,0.9166666666666667
internlm3_8b_instruct__gsm8k_train_00024_f139cc04__temp0.10__seed7,0.2783167618771828,1.0
internlm3_8b_instruct__gsm8k_train_00024_f139cc04__temp0.60__seed7,0.20352175516729049,
internlm3_8b_instruct__gsm8k_train_00024_f139cc04__temp1.00__seed7,0.25124469391815635,
internlm3_8b_instruct__gsm8k_train_00025_1a030c71__temp0.10__seed7,0.1565604658373791,1.0
internlm3_8b_instruct__gsm8k_train_00025_1a030c71__temp0.60__seed7,0.15325061554665048,1.0
internlm3_8b_instruct__gsm8k_train_00025_1a030c71__temp1.00__seed7,0.16428707847430532,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00026_bf9e0c24__temp0.10__seed7,0.18601842327985624,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00026_bf9e0c24__temp0.60__seed7,0.20454965103051387,
internlm3_8b_instruct__gsm8k_train_00026_bf9e0c24__temp1.00__seed7,0.24540202219231166,
internlm3_8b_instruct__gsm8k_train_00027_21e7ba75__temp0.10__seed7,0.3088514837784183,
internlm3_8b_instruct__gsm8k_train_00027_21e7ba75__temp0.60__seed7,0.3706730243560097,
internlm3_8b_instruct__gsm8k_train_00027_21e7ba75__temp1.00__seed7,0.23366930311093706,0.7142857142857142
internlm3_8b_instruct__gsm8k_train_00028_07c2d0db__temp0.10__seed7,0.365291200183932,0.0625
internlm3_8b_instruct__gsm8k_train_00028_07c2d0db__temp0.60__seed7,0.29461527217521555,
internlm3_8b_instruct__gsm8k_train_00028_07c2d0db__temp1.00__seed7,0.3457262768441117,0.0
internlm3_8b_instruct__gsm8k_train_00029_9fc74e20__temp0.10__seed7,0.36769835556213576,0.0
internlm3_8b_instruct__gsm8k_train_00029_9fc74e20__temp0.60__seed7,0.12870276946733353,0.9523809523809524
internlm3_8b_instruct__gsm8k_train_00029_9fc74e20__temp1.00__seed7,0.16854641257950018,0.9375
internlm3_8b_instruct__gsm8k_train_00030_4f09989a__temp0.10__seed7,0.06875256121497228,
internlm3_8b_instruct__gsm8k_train_00030_4f09989a__temp0.60__seed7,0.19373363879333852,
internlm3_8b_instruct__gsm8k_train_00030_4f09989a__temp1.00__seed7,0.3134970598143698,
internlm3_8b_instruct__gsm8k_train_00031_1c0c7800__temp0.10__seed7,0.2672373637060142,
internlm3_8b_instruct__gsm8k_train_00031_1c0c7800__temp0.60__seed7,0.18698037951800042,1.0
internlm3_8b_instruct__gsm8k_train_00031_1c0c7800__temp1.00__seed7,0.1580157165892029,1.0
internlm3_8b_instruct__gsm8k_train_00032_366614d9__temp0.10__seed7,0.26416637790070535,0.6875
internlm3_8b_instruct__gsm8k_train_00032_366614d9__temp0.60__seed7,0.14582698281351522,1.0
internlm3_8b_instruct__gsm8k_train_00032_366614d9__temp1.00__seed7,0.16313457043362306,1.0
internlm3_8b_instruct__gsm8k_train_00033_285b14f1__temp0.10__seed7,0.1740477343886219,
internlm3_8b_instruct__gsm8k_train_00033_285b14f1__temp0.60__seed7,0.3710410304108677,0.2222222222222222
internlm3_8b_instruct__gsm8k_train_00033_285b14f1__temp1.00__seed7,0.16247188746562696,0.8888888888888888
internlm3_8b_instruct__gsm8k_train_00034_b46e2eee__temp0.10__seed7,0.08673688855356909,
internlm3_8b_instruct__gsm8k_train_00034_b46e2eee__temp0.60__seed7,0.31429799877776904,
internlm3_8b_instruct__gsm8k_train_00034_b46e2eee__temp1.00__seed7,0.11962402222120365,0.6666666666666667
internlm3_8b_instruct__gsm8k_train_00035_e581c993__temp0.10__seed7,0.23966786653200814,
internlm3_8b_instruct__gsm8k_train_00035_e581c993__temp0.60__seed7,0.1617495850333152,
internlm3_8b_instruct__gsm8k_train_00035_e581c993__temp1.00__seed7,0.34855442373649836,
internlm3_8b_instruct__gsm8k_train_00036_5cc8bffa__temp0.10__seed7,0.14773886448557833,
internlm3_8b_instruct__gsm8k_train_00036_5cc8bffa__temp0.60__seed7,0.14753216416151332,
