model,feature,coefficient
correctness_probe,step,0.10103763280656856
correctness_probe,entropy_mean,-0.30030358251093087
correctness_probe,entropy_std,0.34467387372916136
correctness_probe,confidence,0.3254899273720024
correctness_probe,answer_changed,-0.2326005583686074
correctness_probe,thought_token_count,-0.008453593431494537
correctness_probe,hidden_l2_shift,0.36202185667168263
correctness_probe,hidden_cosine_shift,-0.2406417087739815
correctness_probe,lexical_echo,0.14880621696672489
correctness_probe,verbose_confidence_proxy,0.32548992737201016
repair_hazard,step,-0.6240137264343866
repair_hazard,entropy_mean,-0.10854790855236159
repair_hazard,entropy_std,0.22819235964735501
repair_hazard,confidence,0.029392236828931537
repair_hazard,answer_changed,0.3707832599143193
repair_hazard,thought_token_count,0.20085819898286886
repair_hazard,hidden_l2_shift,0.24406638826294916
repair_hazard,hidden_cosine_shift,-0.14869478306475778
repair_hazard,lexical_echo,-0.849217118226985
repair_hazard,verbose_confidence_proxy,0.029392236828936137
corruption_hazard,step,0.08809340958550112
corruption_hazard,entropy_mean,0.18663149104721363
corruption_hazard,entropy_std,-0.2139093426899648
corruption_hazard,confidence,-0.16734777319617358
corruption_hazard,answer_changed,0.557374924291684
corruption_hazard,thought_token_count,0.1131019620411477
corruption_hazard,hidden_l2_shift,0.23974203254064058
corruption_hazard,hidden_cosine_shift,0.0185777903178797
corruption_hazard,lexical_echo,-0.9362023127727027
corruption_hazard,verbose_confidence_proxy,-0.16734777319614205
