phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.6,7,1,5,5,1322,1280,7.347908613039181,0.680465730225235,174.19922693766017,0.003693594131618738,6.539891724009067,0.16278853500261903,0.15249187196604908,0.0,16.43047285079956,16.439453125,17.370943546295166,17.708984375,1,0
generate,0.6,7,2,5,5,1636,1280,7.100776867941022,0.704148305599388,180.26196623344333,0.003908514976501465,6.271698747994378,0.1900161870289594,0.17170140915550292,0.0,16.430479526519775,16.439453125,17.374619007110596,17.83203125,1,0
generate,0.6,7,3,5,5,2016,1280,7.4006493201013654,0.6756163930669148,172.9577966251302,0.00457314308732748,6.5107246791012585,0.22449917602352798,0.19378356798551977,0.0,16.43048906326294,16.439453125,17.379215717315674,18.05859375,1,0
generate,0.6,7,4,5,5,2393,1280,7.864424947882071,0.6357743933135919,162.75824468827952,0.009287258144468069,6.872479202924296,0.25943086901679635,0.25195107399486005,0.0,16.430498600006104,16.439453125,17.384117603302002,18.369140625,1,0
generate,0.6,7,5,5,5,2843,1280,8.002110155066475,0.6248351876078947,159.95780802762104,0.008691844064742327,7.0212855010759085,0.31049744598567486,0.18729774095118046,0.0,16.430508136749268,16.439453125,17.561107635498047,18.03125,1,0
generate,0.6,7,6,5,5,3214,1280,8.235631336923689,0.6071179968417192,155.4222071914801,0.007138293003663421,7.103007237892598,0.3480341259855777,0.22114549716934562,0.0,16.430514812469482,16.439453125,17.686986446380615,18.2109375,1,0
generate,0.6,7,7,5,5,3575,1280,8.193637994118035,0.6102295468251525,156.21876398723904,0.01019799499772489,7.156193516915664,0.37102685892023146,0.1934292591176927,0.0,16.430521488189697,16.439453125,17.81300163269043,18.3984375,1,0
generate,0.6,7,8,5,5,3955,1280,8.364166074199602,0.5977882260639437,153.03378587236958,0.006685023196041584,7.261336150113493,0.4150964729487896,0.1856848350726068,0.0,16.430527210235596,16.439453125,17.930613040924072,18.546875,1,0
generate,0.6,7,9,5,5,4316,1280,8.56670758407563,0.5836547998083108,149.41562875092757,0.007755608996376395,7.398111704038456,0.45647075097076595,0.22023510397411883,0.0,16.43053388595581,16.439453125,18.058473110198975,18.744140625,1,0
generate,0.6,7,10,5,5,4731,1280,8.766836938913912,0.5703311279586124,146.00476875740478,0.008236330933868885,7.574996476992965,0.4888989320024848,0.1988285870756954,0.0,16.430540561676025,16.439453125,18.19017791748047,18.923828125,1,0
hidden_state_write,0.6,7,0,5,5,0,0,0.0033909091725945473,,,0.0,0.0,0.0,0.0,0.0033909091725945473,16.430450916290283,16.439453125,18.19017791748047,18.923828125,0,0
