run_id,brier,auc
mistral_7b_instruct_v0p3__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.17212200546769138,1.0
mistral_7b_instruct_v0p3__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.1278257044970126,
mistral_7b_instruct_v0p3__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.1732550899843848,1.0
mistral_7b_instruct_v0p3__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.37386302021519296,
mistral_7b_instruct_v0p3__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.21868532597110185,0.875
mistral_7b_instruct_v0p3__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.38507873134203785,
mistral_7b_instruct_v0p3__gsm8k_train_00002_ae407466__temp0.10__seed7,0.34180638342314684,
mistral_7b_instruct_v0p3__gsm8k_train_00002_ae407466__temp0.60__seed7,0.272279385752712,
mistral_7b_instruct_v0p3__gsm8k_train_00002_ae407466__temp1.00__seed7,0.10098866859750277,
mistral_7b_instruct_v0p3__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.2604170626700015,
mistral_7b_instruct_v0p3__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.32159986326666185,
mistral_7b_instruct_v0p3__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.31382233671626075,
mistral_7b_instruct_v0p3__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.25530464977607314,
mistral_7b_instruct_v0p3__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.3217303539324564,
mistral_7b_instruct_v0p3__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.21807061069890632,
mistral_7b_instruct_v0p3__gsm8k_train_00005_d0817615__temp0.10__seed7,0.1987978725415681,1.0
mistral_7b_instruct_v0p3__gsm8k_train_00005_d0817615__temp0.60__seed7,0.1916917026356814,0.8571428571428571
mistral_7b_instruct_v0p3__gsm8k_train_00005_d0817615__temp1.00__seed7,0.14637411633692365,
mistral_7b_instruct_v0p3__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.19546264276385253,0.9166666666666667
mistral_7b_instruct_v0p3__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.1386676541058417,0.75
mistral_7b_instruct_v0p3__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.30696240867471264,
mistral_7b_instruct_v0p3__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.338080204859487,
mistral_7b_instruct_v0p3__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.36327906706135943,0.0
mistral_7b_instruct_v0p3__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.14388879989477013,
mistral_7b_instruct_v0p3__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.12700146302928725,
mistral_7b_instruct_v0p3__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.29673832369189984,0.8888888888888888
mistral_7b_instruct_v0p3__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.10779550892679149,
mistral_7b_instruct_v0p3__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.1784321146090258,1.0
mistral_7b_instruct_v0p3__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.4291956031063311,
mistral_7b_instruct_v0p3__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.219700333030843,0.4444444444444444
mistral_7b_instruct_v0p3__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.27661107613794755,
mistral_7b_instruct_v0p3__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.23452847662933193,0.8
mistral_7b_instruct_v0p3__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.2749891400180669,
mistral_7b_instruct_v0p3__gsm8k_train_00011_127045f3__temp0.10__seed7,0.3395706832604074,
mistral_7b_instruct_v0p3__gsm8k_train_00011_127045f3__temp0.60__seed7,0.1805134429421399,
mistral_7b_instruct_v0p3__gsm8k_train_00011_127045f3__temp1.00__seed7,0.2342642578628607,
mistral_7b_instruct_v0p3__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.31301411930450984,
mistral_7b_instruct_v0p3__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.2684390904096202,0.4444444444444444
mistral_7b_instruct_v0p3__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.2505949226046818,
mistral_7b_instruct_v0p3__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.14800213029404002,1.0
mistral_7b_instruct_v0p3__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.24847583968581125,0.7083333333333334
mistral_7b_instruct_v0p3__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.14458986665001797,0.7777777777777778
mistral_7b_instruct_v0p3__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.258311456751518,0.7916666666666666
mistral_7b_instruct_v0p3__gsm8k_train_00014_f0103a9f__temp0.60__seed7,0.28073940229664546,1.0
mistral_7b_instruct_v0p3__gsm8k_train_00014_f0103a9f__temp1.00__seed7,0.22738986383263643,0.9375
mistral_7b_instruct_v0p3__gsm8k_train_00015_20b7f79a__temp0.10__seed7,0.2017780654593619,0.8333333333333334
mistral_7b_instruct_v0p3__gsm8k_train_00015_20b7f79a__temp0.60__seed7,0.07903541875030967,
mistral_7b_instruct_v0p3__gsm8k_train_00015_20b7f79a__temp1.00__seed7,0.17732319041382816,
mistral_7b_instruct_v0p3__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,0.3588973776172334,
mistral_7b_instruct_v0p3__gsm8k_train_00016_0cef7ca3__temp0.60__seed7,0.13739174752846423,
mistral_7b_instruct_v0p3__gsm8k_train_00016_0cef7ca3__temp1.00__seed7,0.18784820897590818,
