model,feature,coefficient
correctness_probe,step,-0.056116099479947966
correctness_probe,entropy_mean,-0.32821887157953505
correctness_probe,entropy_std,0.15376600128776272
correctness_probe,confidence,0.3200472572084888
correctness_probe,answer_changed,-0.5283731932796133
correctness_probe,thought_token_count,-0.08060488872493131
correctness_probe,hidden_l2_shift,0.056702017988791896
correctness_probe,hidden_cosine_shift,-0.017696832138049054
correctness_probe,lexical_echo,-0.1318332672385832
correctness_probe,verbose_confidence_proxy,-0.2875827628793578
repair_hazard,step,-0.5163224496472814
repair_hazard,entropy_mean,-0.07031323119697593
repair_hazard,entropy_std,0.22012951888600948
repair_hazard,confidence,-0.4621969241099636
repair_hazard,answer_changed,0.6507076021470285
repair_hazard,thought_token_count,0.2899066409084933
repair_hazard,hidden_l2_shift,-1.1252776609272526
repair_hazard,hidden_cosine_shift,0.8243683672976176
repair_hazard,lexical_echo,0.011316854094827035
repair_hazard,verbose_confidence_proxy,-0.08089805527361489
corruption_hazard,step,-0.9199882416536453
corruption_hazard,entropy_mean,0.5632000937352188
corruption_hazard,entropy_std,-0.06399865566951869
corruption_hazard,confidence,-0.2201949292425841
corruption_hazard,answer_changed,0.5522527754634214
corruption_hazard,thought_token_count,0.17167367221834176
corruption_hazard,hidden_l2_shift,-0.5167396123370457
corruption_hazard,hidden_cosine_shift,0.044872388227236375
corruption_hazard,lexical_echo,-0.8963554800376992
corruption_hazard,verbose_confidence_proxy,0.46944167942564896
