run_id,brier,auc
phi_4_mini_instruct__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.20764325501104594,0.875
phi_4_mini_instruct__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.2194676025811598,0.75
phi_4_mini_instruct__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.1768509872444347,0.9523809523809524
phi_4_mini_instruct__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.2184361288953865,
phi_4_mini_instruct__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.16671172919432495,
phi_4_mini_instruct__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.31131379602616127,
phi_4_mini_instruct__gsm8k_train_00002_ae407466__temp0.10__seed7,0.27350867177292554,0.11111111111111116
phi_4_mini_instruct__gsm8k_train_00002_ae407466__temp0.60__seed7,0.26540280891584433,
phi_4_mini_instruct__gsm8k_train_00002_ae407466__temp1.00__seed7,0.18654970095838025,0.6875
phi_4_mini_instruct__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.2987658630769047,
phi_4_mini_instruct__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.3519475648182141,
phi_4_mini_instruct__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.2202379337656588,0.75
phi_4_mini_instruct__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.25128324998795715,
phi_4_mini_instruct__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.25134624017470886,
phi_4_mini_instruct__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.24750898869820143,
phi_4_mini_instruct__gsm8k_train_00005_d0817615__temp0.10__seed7,0.22076291053607483,0.68
phi_4_mini_instruct__gsm8k_train_00005_d0817615__temp0.60__seed7,0.21567774243494706,0.8888888888888888
phi_4_mini_instruct__gsm8k_train_00005_d0817615__temp1.00__seed7,0.3478976438191172,0.2222222222222222
phi_4_mini_instruct__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.2634807770840616,0.25
phi_4_mini_instruct__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.21671351228904223,
phi_4_mini_instruct__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.25089907977804243,0.33333333333333337
phi_4_mini_instruct__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.23925537802204203,0.5714285714285714
phi_4_mini_instruct__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.19979443998547003,0.5
phi_4_mini_instruct__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.2039100902645869,0.6666666666666667
phi_4_mini_instruct__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.23461493069300982,0.875
phi_4_mini_instruct__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.3066934895681264,0.1875
phi_4_mini_instruct__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.25087615581532735,0.375
phi_4_mini_instruct__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.14929000690255434,
phi_4_mini_instruct__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.3027140569058861,0.0
phi_4_mini_instruct__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.15585889806732806,0.9375
phi_4_mini_instruct__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.257684458211189,0.625
phi_4_mini_instruct__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.2330380498812635,0.380952380952381
phi_4_mini_instruct__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.2621142203810674,0.375
phi_4_mini_instruct__gsm8k_train_00011_127045f3__temp0.10__seed7,0.28884377885154283,0.2222222222222222
phi_4_mini_instruct__gsm8k_train_00011_127045f3__temp0.60__seed7,0.31426686941988774,
phi_4_mini_instruct__gsm8k_train_00011_127045f3__temp1.00__seed7,0.3606755979650294,
phi_4_mini_instruct__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.23772317601601262,0.625
phi_4_mini_instruct__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.14543306923295315,
phi_4_mini_instruct__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.1799351187511921,0.9375
phi_4_mini_instruct__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.20987838569948672,0.7916666666666666
phi_4_mini_instruct__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.2776586729275104,0.19047619047619047
phi_4_mini_instruct__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.24789138568436592,0.6
phi_4_mini_instruct__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.21551000692693112,0.8095238095238095
phi_4_mini_instruct__gsm8k_train_00014_f0103a9f__temp0.60__seed7,0.23974618823992175,
phi_4_mini_instruct__gsm8k_train_00014_f0103a9f__temp1.00__seed7,0.1454513822814901,0.9583333333333334
phi_4_mini_instruct__gsm8k_train_00015_20b7f79a__temp0.10__seed7,0.2400776712579223,0.4761904761904762
phi_4_mini_instruct__gsm8k_train_00015_20b7f79a__temp0.60__seed7,0.2128566565460833,
phi_4_mini_instruct__gsm8k_train_00015_20b7f79a__temp1.00__seed7,0.1607571866832862,0.5
phi_4_mini_instruct__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,0.24564439130256455,0.5416666666666667
phi_4_mini_instruct__gsm8k_train_00016_0cef7ca3__temp0.60__seed7,0.3613233649745173,0.0
phi_4_mini_instruct__gsm8k_train_00016_0cef7ca3__temp1.00__seed7,0.18164344149752729,0.9047619047619049
phi_4_mini_instruct__gsm8k_train_00017_89d492f6__temp0.10__seed7,0.1596526397680659,1.0
phi_4_mini_instruct__gsm8k_train_00017_89d492f6__temp0.60__seed7,0.3097946796254143,0.25
phi_4_mini_instruct__gsm8k_train_00017_89d492f6__temp1.00__seed7,0.3939917322899131,0.11111111111111116
phi_4_mini_instruct__gsm8k_train_00018_86b6a534__temp0.10__seed7,0.2547086175849868,0.5416666666666666
phi_4_mini_instruct__gsm8k_train_00018_86b6a534__temp0.60__seed7,0.213022863521188,0.8095238095238095
