run_id,brier,auc
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.07270128006787518,1.0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.10302302369490898,1.0
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.15258181897920817,
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.2737561615046771,0.6875
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.11078254241966787,
qwen2p5_7b__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.047977761363333385,1.0
qwen2p5_7b__gsm8k_train_00002_ae407466__temp0.10__seed7,0.08388747912015607,1.0
qwen2p5_7b__gsm8k_train_00002_ae407466__temp0.60__seed7,0.5108408037636278,
qwen2p5_7b__gsm8k_train_00002_ae407466__temp1.00__seed7,0.22640744522936504,
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.08891534893118616,1.0
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.10196417056491609,1.0
qwen2p5_7b__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.14675613876900775,1.0
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.37192256206401214,
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.4503465660206075,
qwen2p5_7b__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.17332305873075957,
qwen2p5_7b__gsm8k_train_00005_d0817615__temp0.10__seed7,0.0861318735529494,1.0
qwen2p5_7b__gsm8k_train_00005_d0817615__temp0.60__seed7,0.07450256844713606,1.0
qwen2p5_7b__gsm8k_train_00005_d0817615__temp1.00__seed7,0.3739223685289975,
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.2588935673379841,
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.1335439499270732,1.0
qwen2p5_7b__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.13877118550435458,0.9375
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.16407716689961532,
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.09923207629825763,1.0
qwen2p5_7b__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.22512443502780002,
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.03843330161274229,1.0
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.08790838029993031,0.9523809523809524
qwen2p5_7b__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.15462293127957186,1.0
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.31339547541851975,0.7083333333333333
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.10761973546188419,0.9375
qwen2p5_7b__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.047634941819927216,1.0
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.39636774602088115,0.4285714285714286
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.05740769811053117,
qwen2p5_7b__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.04453880416390812,
qwen2p5_7b__gsm8k_train_00011_127045f3__temp0.10__seed7,0.3848249342151809,
qwen2p5_7b__gsm8k_train_00011_127045f3__temp0.60__seed7,0.10438755932214425,0.9523809523809524
qwen2p5_7b__gsm8k_train_00011_127045f3__temp1.00__seed7,0.05962742737537126,1.0
qwen2p5_7b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.06089570275807682,1.0
qwen2p5_7b__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.04850026019749319,1.0
qwen2p5_7b__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.26749356953221026,
qwen2p5_7b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.053369754695717676,1.0
qwen2p5_7b__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.047828823708649396,1.0
qwen2p5_7b__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.05336318893166183,1.0
