model,feature,coefficient
correctness_probe,step,-0.023956799156263177
correctness_probe,entropy_mean,-0.28446851821749086
correctness_probe,entropy_std,0.0376886432188553
correctness_probe,confidence,0.7139791929204861
correctness_probe,answer_changed,-0.0756635703033943
correctness_probe,thought_token_count,-0.3908225833150315
correctness_probe,hidden_l2_shift,-0.5244719129396841
correctness_probe,hidden_cosine_shift,0.43331533073528167
correctness_probe,lexical_echo,-0.12521158956228212
correctness_probe,verbose_confidence_proxy,0.37365616701410587
repair_hazard,step,0.10168977420440675
repair_hazard,entropy_mean,-0.7848044903162787
repair_hazard,entropy_std,0.669794666107265
repair_hazard,confidence,-1.092118283309703
repair_hazard,answer_changed,-0.10637193662225147
repair_hazard,thought_token_count,0.4029093028246036
repair_hazard,hidden_l2_shift,0.39296218189252113
repair_hazard,hidden_cosine_shift,-0.006921962211730088
repair_hazard,lexical_echo,0.17966036727165302
repair_hazard,verbose_confidence_proxy,-0.20652296259306457
corruption_hazard,step,-1.095279306875993
corruption_hazard,entropy_mean,-0.16928936162595382
corruption_hazard,entropy_std,0.053115034627454136
corruption_hazard,confidence,-1.595580844324789
corruption_hazard,answer_changed,0.0795547846675139
corruption_hazard,thought_token_count,-0.3489276830139744
corruption_hazard,hidden_l2_shift,-0.31982418925864003
corruption_hazard,hidden_cosine_shift,0.3157060547045807
corruption_hazard,lexical_echo,-0.3452928420625565
corruption_hazard,verbose_confidence_proxy,0.6224672986924704
