run_id,task_id,detector,stop_step,stop_utility,oracle_step,oracle_utility,oracle_gap,false_early,false_late,false_late_severity
qwen2p5_7b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,oracle,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,first_answer,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,answer_stability,2,0.95,1,1.0,0.050000000000000044,0,1,1
qwen2p5_7b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,entropy_plateau,2,0.95,1,1.0,0.050000000000000044,0,1,1
qwen2p5_7b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,hazard_drift,2,0.95,1,1.0,0.050000000000000044,0,1,1
qwen2p5_7b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,empirical_bernstein,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,e_process,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,never_stop,2,0.95,1,1.0,0.050000000000000044,0,1,1
qwen2p5_7b__fraction_remaining__temp0.20__seed7,fraction_remaining,oracle,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__fraction_remaining__temp0.20__seed7,fraction_remaining,first_answer,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__fraction_remaining__temp0.20__seed7,fraction_remaining,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__fraction_remaining__temp0.20__seed7,fraction_remaining,answer_stability,2,0.95,1,1.0,0.050000000000000044,0,1,1
qwen2p5_7b__fraction_remaining__temp0.20__seed7,fraction_remaining,entropy_plateau,2,0.95,1,1.0,0.050000000000000044,0,1,1
qwen2p5_7b__fraction_remaining__temp0.20__seed7,fraction_remaining,hazard_drift,2,0.95,1,1.0,0.050000000000000044,0,1,1
qwen2p5_7b__fraction_remaining__temp0.20__seed7,fraction_remaining,empirical_bernstein,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__fraction_remaining__temp0.20__seed7,fraction_remaining,e_process,1,1.0,1,1.0,0.0,0,0,0
qwen2p5_7b__fraction_remaining__temp0.20__seed7,fraction_remaining,never_stop,2,0.95,1,1.0,0.050000000000000044,0,1,1
