run_id,task_id,detector,stop_step,oracle_step,oracle_gap,false_early,false_late,false_late_severity
qwen2p5_0p5b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,first_answer,1,1,0.0,0,0,0
qwen2p5_0p5b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,verifier_first_correct,3,1,0.1,0,1,2
qwen2p5_0p5b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,answer_stability,3,1,0.1,0,1,2
qwen2p5_0p5b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,entropy_plateau,2,1,0.05,0,1,1
qwen2p5_0p5b__calendar_offset_easy__temp0.20__seed7,calendar_offset_easy,hazard_drift,3,1,0.1,0,1,2
qwen2p5_0p5b__calendar_offset_easy__temp0.80__seed7,calendar_offset_easy,first_answer,1,1,0.0,0,0,0
qwen2p5_0p5b__calendar_offset_easy__temp0.80__seed7,calendar_offset_easy,verifier_first_correct,3,1,0.1,0,1,2
qwen2p5_0p5b__calendar_offset_easy__temp0.80__seed7,calendar_offset_easy,answer_stability,3,1,0.1,0,1,2
qwen2p5_0p5b__calendar_offset_easy__temp0.80__seed7,calendar_offset_easy,entropy_plateau,2,1,0.05,0,1,1
qwen2p5_0p5b__calendar_offset_easy__temp0.80__seed7,calendar_offset_easy,hazard_drift,3,1,0.1,0,1,2
qwen2p5_0p5b__fraction_remaining__temp0.20__seed7,fraction_remaining,first_answer,1,1,0.0,0,0,0
qwen2p5_0p5b__fraction_remaining__temp0.20__seed7,fraction_remaining,verifier_first_correct,3,1,0.1,0,1,2
qwen2p5_0p5b__fraction_remaining__temp0.20__seed7,fraction_remaining,answer_stability,3,1,0.1,0,1,2
qwen2p5_0p5b__fraction_remaining__temp0.20__seed7,fraction_remaining,entropy_plateau,2,1,0.05,0,1,1
qwen2p5_0p5b__fraction_remaining__temp0.20__seed7,fraction_remaining,hazard_drift,3,1,0.1,0,1,2
qwen2p5_0p5b__fraction_remaining__temp0.80__seed7,fraction_remaining,first_answer,1,1,0.0,0,0,0
qwen2p5_0p5b__fraction_remaining__temp0.80__seed7,fraction_remaining,verifier_first_correct,3,1,0.1,0,1,2
qwen2p5_0p5b__fraction_remaining__temp0.80__seed7,fraction_remaining,answer_stability,3,1,0.1,0,1,2
qwen2p5_0p5b__fraction_remaining__temp0.80__seed7,fraction_remaining,entropy_plateau,2,1,0.05,0,1,1
qwen2p5_0p5b__fraction_remaining__temp0.80__seed7,fraction_remaining,hazard_drift,3,1,0.1,0,1,2
qwen2p5_0p5b__linear_equation__temp0.20__seed7,linear_equation,first_answer,1,1,0.0,0,0,0
qwen2p5_0p5b__linear_equation__temp0.20__seed7,linear_equation,verifier_first_correct,3,1,0.1,0,1,2
qwen2p5_0p5b__linear_equation__temp0.20__seed7,linear_equation,answer_stability,3,1,0.1,0,1,2
qwen2p5_0p5b__linear_equation__temp0.20__seed7,linear_equation,entropy_plateau,2,1,0.05,0,1,1
qwen2p5_0p5b__linear_equation__temp0.20__seed7,linear_equation,hazard_drift,3,1,0.1,0,1,2
qwen2p5_0p5b__linear_equation__temp0.80__seed7,linear_equation,first_answer,1,1,0.0,0,0,0
qwen2p5_0p5b__linear_equation__temp0.80__seed7,linear_equation,verifier_first_correct,3,1,0.1,0,1,2
qwen2p5_0p5b__linear_equation__temp0.80__seed7,linear_equation,answer_stability,3,1,0.1,0,1,2
qwen2p5_0p5b__linear_equation__temp0.80__seed7,linear_equation,entropy_plateau,2,1,0.05,0,1,1
qwen2p5_0p5b__linear_equation__temp0.80__seed7,linear_equation,hazard_drift,3,1,0.1,0,1,2
