term,term_type,q_basis_mean,q_basis_scale,q_weight,alpha_basis_mean,alpha_basis_scale,alpha_weight,beta_basis_mean,beta_basis_scale,beta_weight,q_abs_rank,alpha_abs_rank,beta_abs_rank,fit_scope,fit_families,basis,base_features
intercept,intercept,0.0,1.0,-0.07828866865659309,0.0,1.0,-0.29000370200458087,0.0,1.0,-0.9789029488428718,,,,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
entropy_mean,base,3.814232880156649e-17,1.000000000000002,-0.4297285970309556,0.297328164668334,0.9888901865193165,0.47587277362969077,-0.19214612840329034,0.8843154564823017,1.3021906460776893,3.0,4.0,4.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
answer_changed,base,-1.4768433389791526e-16,0.9999999999999861,0.7705469818832917,0.27359401830508323,1.0960393295998927,-1.6770563617316248,-0.25013133682039573,0.8279400220236707,2.4784455935206866,2.0,2.0,1.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
thought_token_count,base,1.9252500828138687e-16,1.000000000000004,-0.3888904941261707,0.22479909348660582,1.0557289727177275,0.7697023402321834,-0.22972142206650992,0.8845951605838717,0.41430023404251975,4.0,3.0,7.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
hidden_l2_shift,base,-1.5348216524873552e-16,0.9999999999999992,0.18205930258866,0.1739897021847452,1.0151533672149853,0.15555246265096578,-0.10520383221522671,0.9855621735099195,-1.428446942303192,9.0,9.0,2.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
entropy_mean^2,quadratic,1.0000000000000042,1.4211501761205136,-0.13600100621579392,1.0663078384992395,1.6463797251141268,-0.2428335647615545,0.818933961233885,1.1539367096001951,-0.41356957952818213,10.0,7.0,8.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
entropy_mean answer_changed,interaction,0.3274924643181739,0.9679938316479311,-0.08915484736504294,0.3526171835279059,1.14484682168434,-0.2553913079188009,0.23997931172967754,0.7457649775655237,-0.2778209484131634,12.0,6.0,9.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
entropy_mean thought_token_count,interaction,0.18515897429576236,1.075631434987599,0.07617702022132715,0.23995204133351863,1.2502241191673018,-0.14973092561596216,0.09606442615842221,0.7986009493512708,-0.12401551430753521,14.0,10.0,11.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
entropy_mean hidden_l2_shift,interaction,0.4969755474741271,0.9896752927866586,0.24506824718186,0.45464642199611865,1.124313935565584,0.19430964728068764,0.4747874294540934,0.8195403006824833,-0.11607180840966641,7.0,8.0,12.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
answer_changed^2,quadratic,0.9999999999999724,1.004792878239524,-1.3765452023299822,1.2761558988821649,1.0905819509706072,2.0167262278969815,0.748050365728175,0.8527084503032429,-1.3972160779517835,1.0,1.0,3.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
answer_changed thought_token_count,interaction,0.23640442169147263,1.0761942639665247,0.0768945038586978,0.30907234347090906,1.287132096718938,-0.13578712987875752,0.14262078342065715,0.804014491403684,-0.12626647890754722,13.0,11.0,10.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
answer_changed hidden_l2_shift,interaction,0.554945888540139,0.9416617674433142,0.26951517901575517,0.667592138527694,1.0239058049436458,0.024464414999882306,0.45215067470791936,0.8929270862091482,-0.4630865361579828,5.0,13.0,6.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
thought_token_count^2,quadratic,1.000000000000008,1.987155991295401,0.10994151854292107,1.1650982962680114,2.370652442459136,-0.30250517617730077,0.8352805298846612,1.52424813331312,-0.08613986439443841,11.0,5.0,13.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
thought_token_count hidden_l2_shift,interaction,0.051707751612837284,1.005774815488567,-0.26598050788971794,0.11206693003221524,1.0899179765913958,-0.012931053015695441,-0.0695665446387212,0.9391828419901943,0.03429474473120476,6.0,14.0,14.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
hidden_l2_shift^2,quadratic,0.9999999999999986,1.2257391653366516,-0.19286581195074326,1.0608087754342292,1.2816020569941884,-0.026283777927909577,0.9824006441663745,1.2448207465037673,1.0056646823614144,8.0,12.0,5.0,capable_group_only,Mistral 7B | Qwen 7B,quadratic,entropy_mean | answer_changed | thought_token_count | hidden_l2_shift
